표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
KR7098120009,98120,(주)마이크로컨텍솔루션,마이크로컨텍솔,"Micro Contact Solution Co.,Ltd.",2008.9.23,KOSDAQ,주권,벤처기업부,보통주,500,8312766
KR7131100000,131100,(주)스카이이앤엠,스카이이앤엠,"SKY E&M Co., Ltd.",2011.6.14,KOSDAQ,주권,관리종목(소속부없음),보통주,500,10740713
KR7009520008,9520,(주)포스코엠텍,포스코엠텍,"POSCO M-TECH CO.,LTD.",1997.11.10,KOSDAQ,주권,우량기업부,보통주,500,41642703
KR7095570008,95570,AJ네트웍스보통주,AJ네트웍스,"AJ Networks Co.,Ltd.",2015.8.21,KOSPI,주권,,보통주,1000,46822295
KR7006840003,6840,AK홀딩스보통주,AK홀딩스,"AK Holdings, Inc.",1999.8.11,KOSPI,주권,,보통주,5000,13247561
KR7282330000,282330,BGF리테일보통주,BGF리테일,BGF Retail,2017.12.8,KOSPI,주권,,보통주,1000,17283906
KR7027410000,27410,BGF보통주,BGF,BGF,2014.5.19,KOSPI,주권,,보통주,1000,95716791
KR7138930003,138930,BNK금융지주보통주,BNK금융지주,BNK Financial Group Inc.,2011.3.30,KOSPI,주권,,보통주,5000,325935246
KR7001461003,1465,BYC1우선주,BYC우,BYC(1P),1989.9.5,KOSPI,주권,,구형우선주,5000,215385
KR7001460005,1460,BYC보통주,BYC,BYC,1975.6.2,KOSPI,주권,,보통주,5000,624615
KR7001041003,1045,CJ1우선주,CJ우,CJ(1P),1989.8.18,KOSPI,주권,,구형우선주,5000,2260223
KR700104K010,00104K,CJ4우선주(전환),CJ4우(전환),CJ(4PC),2019.8.9,KOSPI,주권,,신형우선주,5000,4226512
KR7001040005,1040,CJ보통주,CJ,CJ Corp.,1973.6.29,KOSPI,주권,,보통주,5000,29176998
KR7011151008,11155,CJ씨푸드1우선주,CJ씨푸드1우,CJSEAFOODCORPORATION(1P),1990.1.13,KOSPI,주권,,구형우선주,500,200000
KR7011150000,11150,CJ씨푸드보통주,CJ씨푸드,CJSEAFOODCORPORATION,1988.11.26,KOSPI,주권,,보통주,500,35930773
KR7058820002,58820,CMG제약,CMG제약,"CMG Pharmaceutical Co., Ltd.",2001.8.31,KOSDAQ,주권,우량기업부,보통주,500,138892244
KR7000590000,590,CS홀딩스보통주,CS홀딩스,CSHOLDINGS,1975.12.22,KOSPI,주권,,보통주,5000,1154482
KR7012030003,12030,DB Inc.보통주,DB,DB Inc.,1993.1.6,KOSPI,주권,,보통주,500,201173933
KR7016610008,16610,DB금융투자보통주,DB금융투자,"DB Financial Investment Co., LTD.",1988.6.27,KOSPI,주권,,보통주,5000,42446389
KR7005830005,5830,DB손해보험보통주,DB손해보험,DB INSURANCE,1973.6.28,KOSPI,주권,,보통주,500,70800000
KR7000991000,995,DB하이텍1우선주,DB하이텍1우,"DB HiTek Co.,LTD(1P)",2007.5.21,KOSPI,주권,,구형우선주,5000,112316
KR7000990002,990,DB하이텍보통주,DB하이텍,"DB HiTek Co.,LTD",1975.12.12,KOSPI,주권,,보통주,5000,44398588
KR7139130009,139130,DGB금융지주보통주,DGB금융지주,DGB Financial Group,2011.6.7,KOSPI,주권,,보통주,5000,169145833
KR7001530005,1530,DI동일보통주,DI동일,DI DONGIL,1964.1.4,KOSPI,주권,,보통주,5000,2510655
KR7000211003,215,DL1우선주,DL우,DL(1P),1989.8.21,KOSPI,주권,,구형우선주,5000,1686115
KR7001880004,1880,DL건설보통주,DL건설,DLConstruction,1977.12.22,KOSPI,주권,,보통주,5000,22053284
KR7000210005,210,DL보통주,DL,DL,1976.2.2,KOSPI,주권,,보통주,5000,20955884
KR737550K011,37550K,DL이앤씨1우선주,DL이앤씨우,"DL E&C CO., LTD.(1P)",2021.1.25,KOSPI,주권,,종류주권,5000,2113885
KR7375500006,375500,DL이앤씨보통주,DL이앤씨,"DL E&C CO., LTD.",2021.1.25,KOSPI,주권,,보통주,5000,19358738
KR7155660004,155660,DSR보통주,DSR,DSR CORP,2013.5.15,KOSPI,주권,,보통주,500,16000000
KR7069730000,69730,DSR제강보통주,DSR제강,DSRWIRECORP,2003.1.28,KOSPI,주권,,보통주,500,14400000
KR7017940008,17940,E1보통주,E1,E1Corporation,1997.8.27,KOSPI,주권,,보통주,5000,6860000
KR7365550003,365550,ESR켄달스퀘어리츠보통주,ESR켄달스퀘어리츠,ESR KENDALL SQUARE REIT,2020.12.23,KOSPI,부동산투자회사,,보통주,1000,143259000
KR7050120005,50120,ES큐브,ES큐브,ES CUBE,2002.4.25,KOSDAQ,주권,중견기업부,보통주,5000,13564086
KR7383220001,383220,F&F보통주,F&F,F&F,2021.5.21,KOSPI,주권,,보통주,500,7661415
KR7007700008,7700,F&F홀딩스,F&F홀딩스,F&F Holdings,1984.10.4,KOSPI,주권,,보통주,500,39114367
KR7078931003,78935,GS1우선주,GS우,GS Holdings(1P),2004.8.5,KOSPI,주권,,구형우선주,5000,1784826
KR7006360002,6360,GS건설보통주,GS건설,GS Engineering & Construction Corp,1981.8.3,KOSPI,주권,,보통주,5000,85581490
KR7078930005,78930,GS보통주,GS,GS Holdings,2004.8.5,KOSPI,주권,,보통주,5000,92915378
KR7012630000,12630,HDC보통주,HDC,"HDC HOLDINGS CO.,Ltd",1996.10.16,KOSPI,주권,,보통주,5000,59741721
KR7294870001,294870,HDC현대산업개발보통주,HDC현대산업개발,HYUNDAI DEVELOPMENT COMPANY,2018.6.12,KOSPI,주권,,보통주,5000,65907330
KR7003560000,3560,IHQ보통주,IHQ,IHQ,1973.12.18,KOSPI,주권,,보통주,500,146235748
KR7175330000,175330,JB금융지주보통주,JB금융지주,"JB Financial Group Co., Ltd.",2013.7.18,KOSPI,주권,,보통주,5000,196982894
KR7234080000,234080,JW생명과학보통주,JW생명과학,JW LIFESCIENCE,2016.10.27,KOSPI,주권,,보통주,2500,15834554
KR7001061001,1065,JW중외제약1우선주,JW중외제약우,JWPHARMACEUTICAL(1P),1994.10.21,KOSPI,주권,,구형우선주,2500,177486
KR7001062009,1067,JW중외제약2우선주(신형),JW중외제약2우B,JWPHARMACEUTICAL(2PB),1998.4.13,KOSPI,주권,,신형우선주,2500,93028
KR7001060003,1060,JW중외제약보통주,JW중외제약,JWPHARMACEUTICAL,1976.6.14,KOSPI,주권,,보통주,2500,21539926
KR7096760004,96760,JW홀딩스 보통주,JW홀딩스,JW HOLDINGS CORPORATION,2007.7.31,KOSPI,주권,,보통주,500,68441182
KR7105560007,105560,KB금융지주 보통주,KB금융,KB Financial Group,2008.10.10,KOSPI,주권,,보통주,5000,415807920
KR7024120008,24120,KB오토시스,KB오토시스,"KB Autosys Co.,Ltd",1994.12.7,KOSDAQ,주권,우량기업부,보통주,500,11500000
KR7009070004,9070,KCTC 보통주,KCTC,KCTC,1978.9.29,KOSPI,주권,,보통주,500,30000000
KR7044180008,44180,KD,KD,KD Corporation,2000.11.16,KOSDAQ,주권,중견기업부,보통주,500,21713845
KR7016381006,16385,KG동부제철1우선주,KG동부제철우,KG DONGBUSTEEL(1P),1989.9.21,KOSPI,주권,,구형우선주,5000,53385
KR7016380008,16380,KG동부제철보통주,KG동부제철,KG DONGBUSTEEL,1986.2.3,KOSPI,주권,,보통주,5000,100008897
KR7001390004,1390,KG케미칼보통주,KG케미칼,KG Chemical,1989.8.25,KOSPI,주권,,보통주,5000,13866096
KR7033180001,33180,KH 필룩스보통주,KH 필룩스,"KH FEELUX Co.,Ltd.",2001.12.26,KOSPI,주권,,보통주,500,136730264
KR7001940006,1940,KISCO홀딩스보통주,KISCO홀딩스,KISCO Holdings,1989.11.13,KOSPI,주권,,보통주,1000,18476380
KR7025000001,25000,KPX케미칼보통주,KPX케미칼,KPXCHEMICAL,1994.12.27,KOSPI,주권,,보통주,5000,4840000
KR7092230002,92230,KPX홀딩스보통주,KPX홀딩스,KPXHOLDINGS,2006.10.12,KOSPI,주권,,보통주,5000,4224646
KR7000040006,40,KR모터스보통주,KR모터스,KR MOTORS,1976.5.25,KOSPI,주권,,보통주,500,96137368
KR7093050003,93050,LF보통주,LF,LF,2006.12.1,KOSPI,주권,,보통주,5000,29240000
KR7003551009,3555,LG1우선주,LG우,LG Corp.(1P),1988.11.18,KOSPI,주권,,구형우선주,5000,3021620
KR7034220004,34220,LG디스플레이보통주,LG디스플레이,LG Display,2004.7.23,KOSPI,주권,,보통주,5000,357815700
KR7003550001,3550,LG보통주,LG,LG Corp.,1970.2.13,KOSPI,주권,,보통주,5000,157300993
KR7051901007,51905,LG생활건강1우선주,LG생활건강우,"LGHOUSEHOLD&HEALTHCARE,LTD(1P)",2001.4.25,KOSPI,주권,,구형우선주,5000,2099697
KR7051900009,51900,LG생활건강보통주,LG생활건강,"LGHOUSEHOLD&HEALTHCARE,LTD",2001.4.25,KOSPI,주권,,보통주,5000,15618197
KR7032640005,32640,LG유플러스보통주,LG유플러스,LG Uplus,2008.4.21,KOSPI,주권,,보통주,5000,436611361
KR7011070000,11070,LG이노텍보통주,LG이노텍,LG Innotek,2008.7.24,KOSPI,주권,,보통주,5000,23667107
KR7066571001,66575,LG전자1우선주,LG전자우,LGELECTRONICS(1P),2002.4.22,KOSPI,주권,,구형우선주,5000,17185992
KR7066570003,66570,LG전자보통주,LG전자,LGELECTRONICS,2002.4.22,KOSPI,주권,,보통주,5000,163647814
KR7051911006,51915,LG화학1우선주,LG화학우,"LGCHEM,LTD(1P)",2001.4.25,KOSPI,주권,,구형우선주,5000,7688800
KR7051910008,51910,LG화학보통주,LG화학,"LGCHEM,LTD",2001.4.25,KOSPI,주권,,보통주,5000,70592343
KR7079550000,79550,LIG넥스원보통주,LIG넥스원,"LIG Nex1 Co., Ltd.",2015.10.2,KOSPI,주권,,보통주,5000,22000000
KR7010120004,10120,LS ELECTRIC보통주,LS ELECTRIC,LS ELECTRIC,1994.7.11,KOSPI,주권,,보통주,5000,30000000
KR7000680009,680,LS네트웍스보통주,LS네트웍스,LSNetworks,1973.11.15,KOSPI,주권,,보통주,5000,78803016
KR7006260004,6260,LS보통주,LS,LS,1977.6.30,KOSPI,주권,,보통주,5000,32200000
KR7001120005,1120,LX인터내셔널보통주,LX인터내셔널,LX INTERNATIONAL CORP.,1976.1.30,KOSPI,주권,,보통주,5000,38760000
KR7023150006,23150,MH에탄올보통주,MH에탄올,MHETHANOL,1996.12.24,KOSPI,주권,,보통주,500,7378526
KR7035420009,35420,NAVER보통주,NAVER,NAVER,2008.11.28,KOSPI,주권,,보통주,100,164263395
KR7181710005,181710,NHN보통주,NHN,NHN,2013.8.29,KOSPI,주권,,보통주,500,19565025
KR7338100001,338100,NH프라임리츠보통주,NH프라임리츠,NH Prime REIT,2019.12.5,KOSPI,부동산투자회사,,보통주,500,18660000
KR7034310003,34310,NICE보통주,NICE,NICEHoldings,2004.2.4,KOSPI,주권,,보통주,500,37882300
KR7008260002,8260,NI스틸보통주,NI스틸,NI STEEL,1975.6.28,KOSPI,주권,,보통주,500,28600117
KR7004251005,4255,NPC1우선주,NPC우,NPC(1P),1990.1.15,KOSPI,주권,,구형우선주,500,5280000
KR7004250007,4250,NPC보통주,NPC,NPC,1969.9.8,KOSPI,주권,,보통주,500,36720000
KR7010060002,10060,OCI보통주,OCI,OCI,1985.7.9,KOSPI,주권,,보통주,5000,23849371
KR7010951002,10955,S-Oil1우선주,S-Oil우,S-Oil(1P),1992.5.28,KOSPI,주권,,구형우선주,2500,4021927
KR7010950004,10950,S-Oil보통주,S-Oil,S-OilCorporation,1987.5.27,KOSPI,주권,,보통주,2500,112582792
KR8392070007,950110,SBI핀테크솔루션즈,SBI핀테크솔루션즈,"SBI FinTech Solutions Co., Ltd.",2012.12.17,KOSDAQ,주식예탁증권,외국기업(소속부없음),보통주,무액면,24048040
KR7101060002,101060,SBS미디어홀딩스보통주,SBS미디어홀딩스,SBS Media Holdings,2008.3.24,KOSPI,주권,,보통주,500,139896190
KR7005090006,5090,SGC에너지보통주,SGC에너지,SGC Energy,1993.1.6,KOSPI,주권,,보통주,5000,14677004
KR7001380005,1380,SG글로벌보통주,SG글로벌,SG GLOBAL,1976.6.29,KOSPI,주권,,보통주,500,44964143
KR7001770007,1770,SHD보통주,SHD,SHIN HWA DYNAMICS,1988.11.23,KOSPI,주권,,보통주,5000,1214878
KR7002360006,2360,SH에너지화학보통주,SH에너지화학,SH ENERGY & CHEMICAL,1985.12.23,KOSPI,주권,,보통주,500,111133730
KR7009160003,9160,SIMPAC보통주,SIMPAC,SIMPACInc,1989.7.29,KOSPI,주권,,보통주,500,65429516
KR7123700007,123700,SJM보통주,SJM,"SJM CO.,LTD",2010.5.31,KOSPI,주권,,보통주,500,15604898
KR7025530007,25530,SJM홀딩스보통주,SJM홀딩스,SJM HOLDINGS,1997.2.12,KOSPI,주권,,보통주,500,14934008
KR703473K016,03473K,SK1우선주,SK우,SK(1P),2015.8.17,KOSPI,주권,,종류주권,200,566135
KR7011790003,11790,SKC보통주,SKC,SKC,1997.7.18,KOSPI,주권,,보통주,5000,37868298
KR7018670000,18670,SK가스보통주,SK가스,SKGas,1997.8.27,KOSPI,주권,,보통주,5000,9230244
KR7001741008,1745,SK네트웍스1우선주,SK네트웍스우,"SKNetworksCo.,Ltd(1P)",1989.12.21,KOSPI,주권,,구형우선주,2500,113648
KR7001740000,1740,SK네트웍스보통주,SK네트웍스,"SKNetworksCo.,Ltd",1977.6.30,KOSPI,주권,,보통주,2500,248187647
KR7210980009,210980,SK디앤디보통주,SK디앤디,"SK D&D Co., Ltd",2015.6.23,KOSPI,주권,,보통주,1000,22190164
KR7395400005,395400,SK리츠보통주,SK리츠,SK REIT,2021.9.14,KOSPI,부동산투자회사,,보통주,500,155020532
KR7034730002,34730,SK보통주,SK,SK,2009.11.11,KOSPI,주권,,보통주,200,70360297
KR7361610009,361610,SK아이이테크놀로지보통주,SK아이이테크놀로지,SK ie technology,2021.5.11,KOSPI,주권,,보통주,1000,71297592
KR7096771001,96775,SK이노베이션 1우선주,SK이노베이션우,SK Innovation(1P),2007.7.25,KOSPI,주권,,구형우선주,5000,1248426
KR7096770003,96770,SK이노베이션 보통주,SK이노베이션,SK Innovation,2007.7.25,KOSPI,주권,,보통주,5000,92465564
KR7001511005,1515,SK증권1우선주,SK증권우,SKSecurities(1P),1989.8.29,KOSPI,주권,,구형우선주,500,3912514
KR7001510007,1510,SK증권보통주,SK증권,SKSecurities,1986.9.20,KOSPI,주권,,보통주,500,472590171
KR728513K010,28513K,SK케미칼1우선주,SK케미칼우,SKCHEMICALS(1P),2018.1.5,KOSPI,주권,,종류주권,5000,2115429
KR7285130001,285130,SK케미칼보통주,SK케미칼,SKCHEMICALS,2018.1.5,KOSPI,주권,,보통주,5000,17620780
KR7017670001,17670,SK텔레콤보통주,SK텔레콤,SKTelecom,1989.11.7,KOSPI,주권,,보통주,500,72060143
KR7064960008,64960,SNT모티브보통주,SNT모티브,SNT MOTIV,2002.3.11,KOSPI,주권,,보통주,5000,14623136
KR7100840008,100840,SNT에너지보통주,SNT에너지,"SNTEnergy Co.,Ltd.",2008.2.22,KOSPI,주권,,보통주,500,7506711
KR7003570009,3570,SNT중공업보통주,SNT중공업,SNT DYNAMICS,1976.7.8,KOSPI,주권,,보통주,2500,33252697
KR7036530004,36530,SNT홀딩스보통주,SNT홀딩스,SNT Holdings,2002.10.22,KOSPI,주권,,보통주,500,16303886
KR7005610001,5610,SPC삼립보통주,SPC삼립,SPC SAMLIP,1975.5.2,KOSPI,주권,,보통주,5000,8629009
KR7011810009,11810,STX보통주,STX,STX,1990.9.12,KOSPI,주권,,보통주,2500,28621454
KR7077970002,77970,STX엔진보통주,STX엔진,"STXEngineCo.,Ltd",2004.5.10,KOSPI,주권,,보통주,2500,23008904
KR7071970008,71970,STX중공업보통주,STX중공업,STX Heavy Industries,2009.5.15,KOSPI,주권,,보통주,2500,28365976
KR7084870005,84870,TBH글로벌보통주,TBH글로벌,TBH GLOBAL,2005.12.19,KOSPI,주권,,보통주,500,20856819
KR7002710002,2710,TCC스틸보통주,TCC스틸,TCC STEEL,1984.12.21,KOSPI,주권,,보통주,1000,23500000
KR7024070005,24070,WISCOM보통주,WISCOM,WISCOM,1996.11.22,KOSPI,주권,,보통주,500,15326438
KR7079940003,79940,가비아,가비아,"GABIA, Inc.",2005.10.19,KOSDAQ,주권,우량기업부,보통주,500,13535684
KR7078890001,78890,가온미디어,가온미디어,"KAON Media Co., Ltd.",2005.7.12,KOSDAQ,주권,우량기업부,보통주,500,15851946
KR7000500009,500,가온전선보통주,가온전선,GAONCABLE,1987.6.8,KOSPI,주권,,보통주,5000,4160347
KR7036620003,36620,감성코퍼레이션,감성코퍼레이션,GAMSUNG Corporation,2000.1.11,KOSDAQ,주권,중견기업부,보통주,500,77338680
KR7000860007,860,강남제비스코보통주,강남제비스코,KANGNAM JEVISCO,1975.11.12,KOSPI,주권,,보통주,1000,6500000
KR7217730001,217730,강스템바이오텍,강스템바이오텍,"KANGSTEM BIOTECH CO., LTD.",2015.12.21,KOSDAQ,주권,기술성장기업부,보통주,500,37937925
KR7114190002,114190,강원,강원,"KANGWON Co., Ltd.",2009.11.20,KOSDAQ,주권,관리종목(소속부없음),보통주,500,26123038
KR7035250000,35250,강원랜드보통주,강원랜드,"Kangwon Land, Inc.",2003.9.4,KOSPI,주권,,보통주,500,213940500
KR7094480001,94480,갤럭시아머니트리,갤럭시아머니트리,"GalaxiaMoneytree Co.,Ltd.",2007.7.20,KOSDAQ,주권,우량기업부,보통주,500,39229838
KR7011420007,11420,갤럭시아에스엠보통주,갤럭시아에스엠,GALAXIA SM,1989.11.14,KOSPI,주권,,보통주,500,27549644
KR7063080006,63080,게임빌,게임빌,GAMEVIL. INC,2009.7.30,KOSDAQ,주권,우량기업부,보통주,500,6595192
KR7039240007,39240,경남스틸,경남스틸,"Kyeong Nam Steel Co., LTD",2000.3.7,KOSDAQ,주권,우량기업부,보통주,100,25000000
KR7053950002,53950,경남제약,경남제약,"KYUNG NAM PHARM.CO.,LTD.",2001.11.6,KOSDAQ,주권,중견기업부,보통주,500,20049565
KR7223310004,223310,경남제약헬스케어,경남제약헬스케어,"KYUNG NAM PHARM HEALTH CARE CO., LTD.",2015.12.24,KOSDAQ,주권,관리종목(소속부없음),보통주,100,13333506
KR7002100006,2100,경농보통주,경농,Kyungnong,1977.6.30,KOSPI,주권,,보통주,500,19522575
KR7009450008,9450,경동나비엔보통주,경동나비엔,KYUNGDONGNAVIEN,1993.8.31,KOSPI,주권,,보통주,1000,14568592
KR7267290005,267290,경동도시가스보통주,경동도시가스,KYUNGDONG CITY GAS,2017.5.12,KOSPI,주권,,보통주,2500,5895406
KR7012320008,12320,경동인베스트보통주,경동인베스트,KYUNGDONG INVEST,1997.3.7,KOSPI,주권,,보통주,5000,2365023
KR7011040003,11040,경동제약,경동제약,KyungdongPharm,1992.12.18,KOSDAQ,주권,우량기업부,보통주,500,30768766
KR7000050005,50,경방보통주,경방,Kyungbang,1956.3.3,KOSPI,주권,,보통주,500,27415270
KR7214390007,214390,경보제약보통주,경보제약,"KYONGBO PHARMACEUTICAL CO., LTD.",2015.6.29,KOSPI,주권,,보통주,500,23906860
KR7012610002,12610,경인양행보통주,경인양행,KyunginSynthetic,1995.10.5,KOSPI,주권,,보통주,500,41546365
KR7009140005,9140,경인전자보통주,경인전자,KyunginElectronics,1989.6.20,KOSPI,주권,,보통주,5000,1570797
KR7024910002,24910,경창산업,경창산업,KyungchangIndustrial,1994.12.29,KOSDAQ,주권,중견기업부,보통주,500,35819005
KR7013580006,13580,계룡건설산업보통주,계룡건설,KyeryongConstructionIndustrial,1996.1.30,KOSPI,주권,,보통주,5000,8930907
KR7012201000,12205,계양전기1우선주,계양전기우,KeyangElectricMachinery(1P),1989.8.2,KOSPI,주권,,구형우선주,500,1400000
KR7012200002,12200,계양전기보통주,계양전기,KeyangElectricMachinery,1988.7.6,KOSPI,주권,,보통주,500,32600000
KR7002140002,2140,고려산업보통주,고려산업,KoreaIndustrial,1991.1.14,KOSPI,주권,,보통주,1000,24939425
KR7198440000,198440,고려시멘트,고려시멘트,"KOREA CEMENT co., Ltd.",2014.8.13,KOSDAQ,주권,우량기업부,보통주,100,31979960
KR7049720006,49720,고려신용정보,고려신용정보,"KORYO CREDIT INFORMATION CO., LTD.",2002.1.31,KOSDAQ,주권,중견기업부,보통주,500,14300000
KR7010130003,10130,고려아연보통주,고려아연,KoreaZinc,1990.7.28,KOSPI,주권,,보통주,5000,18870000
KR7002240000,2240,고려제강보통주,고려제강,KISWire,1976.5.25,KOSPI,주권,,보통주,1000,23000000
KR7014570006,14570,고려제약,고려제약,"KOREAN DRUG CO., LTD.",2000.12.7,KOSDAQ,주권,우량기업부,보통주,500,11000000
KR7348150004,348150,고바이오랩,고바이오랩,"KoBioLabs, Inc",2020.11.18,KOSDAQ,주권,기술성장기업부,보통주,500,16270559
KR7098460009,98460,고영테크놀러지,고영,Koh Young Technology Inc.,2008.6.3,KOSDAQ,주권,우량기업부,보통주,100,68654755
KR7035290006,35290,골드앤에스,골드앤에스,Gold&S,1999.12.7,KOSDAQ,주권,관리종목(소속부없음),보통주,500,36223910
KR7038530002,38530,골드퍼시픽,골드퍼시픽,"Gold Pacific Co.,Ltd",2000.6.9,KOSDAQ,주권,중견기업부,보통주,500,83267529
KR7215000001,215000,골프존,골프존,"GOLFZON Co., Ltd.",2015.4.3,KOSDAQ,주권,우량기업부,보통주,500,6275415
KR7121440002,121440,골프존뉴딘홀딩스,골프존뉴딘홀딩스,"GOLFZON NEWDIN HOLDINGS Co., Ltd.",2011.5.20,KOSDAQ,주권,중견기업부,보통주,500,42836818
KR7183410000,183410,골프존데카,골프존데카,GolfzonDeca,2013.11.12,KONEX,주권,일반기업부,보통주,500,4111161
KR7076340009,76340,관악산업,관악산업,GWANAK CONSTRUCTION AND EQUIPMENT SERVICE,2015.5.18,KONEX,주권,일반기업부,보통주,500,4871460
KR7009290008,9290,광동제약보통주,광동제약,KwangdongPharmaceutical,1989.11.17,KOSPI,주권,,보통주,1000,52420851
KR7014200000,14200,광림,광림,"KANGLIM Co., LTD.",1993.7.7,KOSDAQ,주권,중견기업부,보통주,500,74564624
KR7017040007,17040,광명전기보통주,광명전기,KWANG MYUNG ELECTRIC,1990.9.14,KOSPI,주권,,보통주,500,43337615
KR7017900002,17900,광전자보통주,광전자,AUK,1996.10.16,KOSPI,주권,,보통주,500,57943763
KR7037710001,37710,광주신세계보통주,광주신세계,GwangjuShinsegae,2002.2.7,KOSPI,주권,,보통주,5000,1600000
KR7026910000,26910,광진실업,광진실업,KwangjinInd,1996.1.3,KOSDAQ,주권,중견기업부,보통주,500,6405405
KR7090150004,90150,광진윈텍,광진윈텍,"KWANGJIN WINTEC CO., LTD",2006.10.20,KOSDAQ,주권,중견기업부,보통주,500,17358393
KR7355150004,355150,교보10호기업인수목적,교보10호스팩,Kyobo 10 Special Purpose Acquisition Company,2020.9.18,KOSDAQ,주권,SPAC(소속부없음),보통주,100,5320000
KR7331520007,331520,교보9호기업인수목적,교보9호스팩,Kyobo 9 Special Purpose Acquisition Company,2019.10.29,KOSDAQ,주권,SPAC(소속부없음),보통주,100,3880000
KR7030610000,30610,교보증권보통주,교보증권,"KYOBOSECURITIESCO.,LTD.",2002.7.18,KOSPI,주권,,보통주,5000,64653296
KR7339770000,339770,교촌에프앤비보통주,교촌에프앤비,KYOCHON FOOD&BEVERAGE,2020.11.12,KOSPI,주권,,보통주,500,24982540
KR7053270005,53270,구영테크,구영테크,GUYOUNGTECHNOLOGY COMPANY LIMITED,2002.2.7,KOSDAQ,주권,중견기업부,보통주,500,26394174
KR7007690001,7690,국도화학보통주,국도화학,KukdoChemical,1989.8.5,KOSPI,주권,,보통주,5000,9010616
KR7005320007,5320,국동보통주,국동,Kukdong,1996.12.24,KOSPI,주권,,보통주,500,54395211
KR7066620006,66620,국보디자인,국보디자인,KUKBO DESIGN,2002.9.5,KOSDAQ,주권,우량기업부,보통주,500,7500000
KR7001140003,1140,국보보통주,국보,KUKBO,1989.12.2,KOSPI,주권,,보통주,500,61065541
KR7043650001,43650,국순당,국순당,"KOOK SOON DANG CO., LTD.",2000.8.24,KOSDAQ,주권,우량기업부,보통주,500,17858304
KR7006050009,6050,국영지앤엠,국영지앤엠,KUK YOUNG G&M,1994.10.7,KOSDAQ,주권,중견기업부,보통주,500,34895243
KR7060480001,60480,국일신동,국일신동,"KUKIL METAL CO., LTD",2014.12.29,KOSDAQ,주권,중견기업부,보통주,500,11090000
KR7078130002,78130,국일제지,국일제지,"KUK-IL PAPER MFG CO.,LTD",2004.10.22,KOSDAQ,주권,중견기업부,보통주,100,127617473
KR7307750000,307750,국전약품,국전약품,"KUKJEON PHARMACEUTICAL Co.,Ltd",2018.12.19,KOSDAQ,주권,우량기업부,보통주,100,49069269
KR7002720001,2720,국제약품보통주,국제약품,Kukje Pharma,1975.12.27,KOSPI,주권,,보통주,1000,19276090
KR7243870003,243870,굿센,굿센,Goodcen,2016.10.31,KONEX,주권,일반기업부,보통주,500,2583805
KR7114090004,114090,그랜드코리아레저보통주,GKL,Grand Korea Leisure,2009.11.19,KOSPI,주권,,보통주,500,61855670
HK0000307485,900290,그레이트리치과기유한공사,GRT,Great Rich Technologies Limited,2016.10.25,KOSDAQ,외국주권,외국기업(소속부없음),보통주,무액면,67375000
KR7204020002,204020,그리티,그리티,"GRITEE, Inc.",2018.7.23,KOSDAQ,주권,중견기업부,보통주,500,20147430
KR7083420000,83420,그린케미칼보통주,그린케미칼,GREEN CHEMICAL,2005.10.20,KOSPI,주권,,보통주,500,24000000
KR7186230009,186230,그린플러스,그린플러스,"GREEN PLUS Co., Ltd",2019.8.7,KOSDAQ,주권,벤처기업부,보통주,500,10820188
KR7014530000,14530,극동유화보통주,극동유화,KukdongOil&Chem.,1991.1.31,KOSPI,주권,,보통주,500,34869420
KR7083450007,83450,글로벌스탠다드테크놀로지,GST,"Global Standard Technology Co., Ltd.",2006.2.1,KOSDAQ,주권,우량기업부,보통주,500,9317745
KYG3931T1076,900070,글로벌에스엠테크리미티드,글로벌에스엠,Global SM Tech Limited,2009.12.23,KOSDAQ,외국주권,외국기업(소속부없음),보통주,0.5,53743968
KR7204620009,204620,글로벌텍스프리,글로벌텍스프리,"Global Tax Free Co., Ltd.",2014.11.19,KOSDAQ,주권,중견기업부,보통주,500,48736691
KR7019660000,19660,글로본,글로본,"GLOBON CO., LTD.",1992.6.4,KOSDAQ,주권,중견기업부,보통주,500,32764319
KR7014281000,14285,금강공업1우선주,금강공업우,KUMKANG KIND(1P),1989.7.31,KOSPI,주권,,구형우선주,1000,589875
KR7014280002,14280,금강공업보통주,금강공업,KUMKANG KIND,1988.9.10,KOSPI,주권,,보통주,1000,29329357
KR7053260006,53260,금강철강,금강철강,"KEUM KANG STEEL CO., LTD",2002.1.4,KOSDAQ,주권,우량기업부,보통주,500,18720000
KR7008870008,8870,금비보통주,금비,Kumbi,1990.6.8,KOSPI,주권,,보통주,5000,1000000
KR7045890001,45890,금빛,GV,GeumVit Corp,2005.11.28,KOSDAQ,주권,관리종목(소속부없음),보통주,500,86766187
KR7001570001,1570,금양보통주,금양,Kumyang,1976.12.17,KOSPI,주권,,보통주,500,48806004
KR7002991008,2995,금호건설1우선주,금호건설우,KUMHOE&C(1P),1988.10.6,KOSPI,주권,,구형우선주,5000,292266
KR7002990000,2990,금호건설보통주,금호건설,KUMHOE&C,1976.6.26,KOSPI,주권,,보통주,5000,36633924
KR7011781002,11785,금호석유화학1우선주,금호석유우,KumhoPetrochemical(1P),1988.10.20,KOSPI,주권,,구형우선주,5000,3023486
